real,lasso,mlr
224.94,213.91,194.6
225.02,211.64,246.38
225.6,219.21,239.85
225.65,221.84,220.46
225.78,216.03,240.5
226.08,224.39,241.89
226.17,216.02,259.03
226.24,231.57,249.1
226.51,224.27,214.62
226.68,214.32,187.19
226.69,217.41,205.12
226.76,225.44,221.92
226.77,219.02,249
226.87,219.47,189.58
226.97,209.66,254.95
226.99,216.08,207.18
226.99,229.52,228.05
227.07,233.86,226.94
227.08,224.66,222.56
227.11,224.41,260.62
227.14,232.24,228.95
227.18,225.52,199.02
227.21,217.98,224.95
227.22,220.46,200.05
227.24,220.81,248.74
227.3,227.93,219.95
227.33,225.21,224.97
227.42,208.78,219.93
227.52,228.21,243.3
227.53,228.26,197.16
227.57,216.24,256.78
227.57,233.98,244.24
227.59,210.74,242.92
227.63,226.83,191.04
227.74,218.55,203.29
227.79,224.82,224.1
227.84,216.61,187.92
227.84,213.77,252.99
227.89,226.46,203.16
227.89,232.98,208.17
227.89,225.8,195.29
227.92,227.68,205.84
227.98,215.72,216.3
228.03,221.42,243.66
228.03,223.74,214.2
228.09,231.49,203
228.29,229.88,251.51
228.31,226.03,256.84
228.32,219.18,220.29
228.33,232.41,194.65
228.35,227.03,212.08
228.36,226.88,248.85
228.4,236.89,235.15
228.42,216.85,240.3
228.44,218.37,197.85
228.48,230.99,239.05
228.53,218.61,209.81
228.53,218.49,190.98
228.53,213.76,257.48
228.58,218.14,262.82
228.65,229.03,239.6
228.67,215.98,199.75
228.73,227.37,261.21
228.74,214.7,233.29
228.76,221.54,248.39
228.8,222.56,209.23
228.81,222.12,224.28
228.81,221.7,200.8
228.82,216.73,191.95
228.82,207.61,255.59
228.85,217.12,260.52
228.86,234.38,202.76
228.86,227.5,200.53
228.86,207.17,249.27
228.88,208.9,252.99
228.89,220.51,232.54
228.95,236.72,218.88
228.97,217.79,191.38
229.08,222.43,222.84
229.11,221.9,256.1
229.14,221,230.02
229.2,230.66,246.68
229.2,219.59,227.04
229.22,226.35,207.3
229.35,219.33,237.07
229.36,221.6,240.27
229.42,231.43,231.61
229.44,231.76,216.54
229.44,233.58,200.26
229.44,214.49,263.27
229.47,230.85,230.26
229.51,228.52,225.83
229.53,228.25,209.9
229.56,222.01,236.21
229.57,236.13,207.59
229.58,216.44,216.34
229.59,222.18,207.11
229.64,222.92,189.27
229.66,236.61,190.57
229.68,219.64,254.19
229.71,227.04,216.04
229.72,222.95,262.83
229.78,227,201.9
229.86,227.49,259.38
229.87,224.25,257.43
229.93,217.53,233.13
229.95,231.52,219.72
229.97,219.82,262.17
229.99,228.43,237.69
230,216.98,260.61
230.07,229.94,190.68
230.09,229.87,253.23
230.09,233.11,206.17
230.17,222.39,199.57
230.23,219.28,192.81
230.26,215.35,229.41
230.27,212.43,259.96
230.29,220.9,264.64
230.3,222.66,220.12
230.31,212.86,227.76
230.31,208.53,220.39
230.32,236.88,200.22
230.36,222.21,234.23
230.4,234.78,238.71
230.44,233.68,259.57
230.44,214.52,198.61
230.47,210.94,203.56
230.52,215.17,226.27
230.61,221.06,231.01
230.7,230.47,252.24
230.74,229.64,189.53
230.75,235.51,222.76
230.77,215.35,224.96
230.81,225.38,204.8
230.81,230.8,264.87
230.82,214.76,243.82
230.83,226.06,256.56
230.86,227.97,258.96
230.93,217.15,200.9
230.96,235.97,206.44
230.96,224.8,252.02
230.96,228.2,254.27
231.02,209.56,213.44
231.04,216.39,247.11
231.05,214.97,252.97
231.06,219.13,244.26
231.1,224.67,225.87
231.14,221.68,220.5
231.15,223.56,249.29
231.17,221.74,247.18
231.2,229.33,252.98
231.3,227.54,224.76
231.31,225.4,233.5
231.31,238.13,201.61
231.32,232.42,235.03
231.32,226.35,258.85
231.33,221.11,231.16
231.33,214.64,247.66
231.34,219.55,241.86
231.36,225.5,235.84
231.37,220.97,211.62
