power,cpu,mem
228.89,0,0
232.34,9.9,29.1
229.69,19,44
230.79,10,26.7
230.68,7.8,43.3
228.32,8.9,41.8
228.81,3.1,19.2
229.04,5.5,14.3
231.42,0.2,8.1
227.84,19.8,43.6
231.05,4.4,9.6
229.37,7.1,26.4
232,21.1,20.2
231.3,9.9,20.4
230.61,19.3,8.2
231.83,16.2,30.8
232.37,31.6,71
230.93,14.2,15.8
231.04,11.3,20.1
227.57,49.3,12.9
228.37,17.2,52.4
227.84,53,22.1
229.11,17.4,25.1
231.13,76.8,23.6
230.66,46.3,44.1
228.92,29,25.3
231.87,20.8,18
230.27,55.4,46.2
227.96,5.7,15.9
229.09,15,14.6
231.34,64.4,16.4
229.11,27.8,51.9
229.78,73.7,9.9
231.13,60.8,4.3
232.19,50.8,12.6
232.05,69.6,22.2
228.95,17.3,57.4
231.33,14.4,9.5
227.7,1.3,10.5
227.98,9.8,32.8
229.43,80,21.2
232.34,8,85.5
228.91,3.7,36.9
228.26,53.7,56.1
229.37,43.6,64.5
232.18,95,62.5
231.76,25.8,36.8
228.44,27.1,60.9
229.58,8.2,40.1
230.67,26.4,46.2
229.22,0.1,90.7
229.56,15.3,8.4
230.95,41.3,44.8
231.37,7.6,10.6
231.68,25.7,78.8
231.93,31.1,63.4
230.14,29.5,62.3
228.67,26.3,9
231.06,36.4,48
228.37,3.9,48.7
230.74,16.7,19.9
230.52,20.9,33.7
231.16,16.1,18.4
229.54,8.8,49.1
229.93,26.9,25.2
232.25,55,32.9
230.26,57.7,71
229.5,28.3,44.8
229.5,10.9,50.8
230.88,73.2,40.5
228.76,9.9,31.9
231.72,4,62.4
228.74,18.9,34.3
230.98,52.4,28.7
227.77,40,34.5
230.3,0.7,46
231.33,42.3,9
227.74,52.4,46.6
230.74,26.9,21.2
231.33,91.3,20.5
230.47,59.4,79.6
230.8,13.9,17.4
229.44,10.7,44.6
231.18,28.5,28.2
229.93,3,56
231.47,22.5,23.2
230.32,37.5,33.6
228.82,0.6,38.3
230.13,15.9,15.6
232,58.5,69.4
231.99,39.9,73.5
232.58,24.4,15.8
232.41,15.3,33.8
229.28,95.9,74.1
227.98,22.7,61.8
228.17,34.7,67.2
232.53,0.8,38.9
228.87,10.5,72.5
229.39,13.3,54.7
230.29,24,7.2
230.38,24,11.8
229.44,0,27.4
228.66,0.2,50.5
231.83,39.8,23.9
230.08,50.8,82.4
228.12,39,69
231.18,11.7,48.7
230.31,36.8,20.2
230.35,23.1,10.2
231.4,87.3,47.4
232.25,35.5,22.5
231.78,9,27.2
231.05,13.4,65.9
228.58,50.4,80.2
231.41,15,60.5
228.58,14.9,55.7
228.57,39.6,47
228.4,61.6,30.6
230.82,3.7,48.8
232.08,16.8,31.8
231.88,51.5,25.5
230.33,35.6,9.7
231.89,3.3,74.2
232.63,9.8,55
228.42,8.8,33.3
228.13,34.8,60.8
230.01,11,84.3
228.71,3.3,38.7
229.99,66.9,30.2
233.24,1,28.9
232.16,3.3,35.1
230.93,39.9,36.1
228.29,33.5,43.7
230.7,12.2,23.7
231,40.7,38.7
233.02,13.2,29.3
230.17,49.9,35.5
230,9.6,8.4
229.72,31.3,7.3
228.77,46.1,33.8
232.2,29.7,33.8
228.82,4.2,14.5
227.92,5.1,29.3
229.25,17.2,48.2
230.44,63.9,76.3
231.17,16.3,78.6
231.06,21.4,24.8
231.28,86,41.1
228.36,14.4,49.4
228.57,5.1,50.7
228.24,74.6,57.9
231.92,12.4,22.5
228.85,66.8,35.9
231.12,72.6,37.6
229.53,0.8,7.5
229.04,25.8,21.7
228.53,27.4,60.7
232.87,16.6,96.2
228.29,6.3,94.1
230.31,9.3,98.8
231.82,93.6,36.9
232.87,21.7,61.3
227.43,8.2,63.5
232.61,7.5,17.5
231.89,44.3,49.2
229.72,45.8,76.3
232.98,19.8,29.9
231.72,6.2,55.9
228.16,10.2,22.7
230.75,39.8,40.9
230.26,18.1,53.1
227.17,11.5,43.2
230.23,19,82.2
231.99,28.1,23.3
227.39,30.4,62.8
229.87,28.8,58.1
227.29,12.4,50.3
233.25,9.3,32.8
229.73,85.7,14.9
230.93,20.2,67.1
230.81,28.8,79.8
231.67,51.1,29.4
226.69,34.9,61.4
231.07,34.8,63.2
232.49,31.3,24.1
232.87,46.9,37.5
230.21,8.7,19.2
229.08,10.8,50.9
229.25,20.9,12.2
231.46,9,18.6
230.27,34.2,22.7
230.81,67.8,74
228.63,46.9,19.1
231.29,38.2,40.2
232.81,20.2,73.5
230.75,38,55.3
230.46,46.5,42.9
229.19,7.3,11.4
230.3,10.6,49.2
228.61,50.4,29.8
229.22,59.4,73.6
232.62,67.1,87.1
227.42,33.9,85
231.51,25.7,52.1
227.98,59.7,18.5
227.18,9.6,25.2
232.36,43.4,20.7
227.38,37.6,26.7
229.54,33.3,78.3
228.41,42.4,18.2
227.04,33.6,59.8
229.29,39.2,36.2
229.15,0.3,25.2
227.62,27.6,41.7
227.72,10.4,41.2
228.73,61,93.8
226.89,53.7,61.6
232.53,0.4,51.3
230.68,76.7,58.6
232.9,12.6,68.6
231.95,8.9,54.9
231.98,16.3,42.5
230.53,62.7,10.2
229.68,8.2,42.2
228.83,23.6,74.9
232.47,59.4,38.9
228.3,62.9,24.8
230.3,13.4,20.5
229.13,38.5,35.3
230.32,25.2,61.2
230.63,37.7,42.6
230.49,1.2,24.2
230.8,67.2,83.1
229.86,54.3,57.6
227.25,55.2,41.9
233.04,1.2,54.1
231.69,21.3,32.1
230.76,20.7,43.9
229.73,59.3,33.6
228.93,8.7,80.5
228.74,56.4,12.7
232.9,51.1,45.2
227.21,18.1,22.7
231.58,16.1,16.2
227.19,8.3,20
230.74,9.1,27.6
227.04,31.6,98.1
228.95,24.3,54.7
229.76,22,23.9
227.84,46.8,32.1
228.02,47.5,28.2
231.1,19.7,59.3
232.83,24.7,73.3
233.6,44.4,17.7
230.31,48,19.7
228.76,63.4,37
228.51,58.3,29.2
232.21,55.2,41.7
229.22,7.2,44.8
228.88,53.4,42
231.02,29.3,26.2
226.94,45.1,62.1
229.71,43.4,17.6
232.36,22.5,17.6
231.95,24.3,26.8
231.08,72.1,72.2
228.78,44.1,36.4
231.68,46.1,20
230.79,8.9,52.3
227.29,58.7,67.3
231.99,32.8,35.4
228.66,70.9,40
230.15,53.3,62.1
228.38,42.9,40.8
232.17,17.7,89.2
231.95,22.7,45.1
231.66,5.7,96.4
228.37,41.7,7.3
228.86,20.3,85.3
232.39,82.5,9
231.74,11.8,70.4
227.83,29.3,82.6
228.52,61,46.6
231.74,36.9,54.4
229.61,20.3,23
227.58,49.7,14.4
231.36,62.8,50.1
229.64,72.9,45.2
228.88,4.5,40.9
230,53,49.9
228.33,59.3,58.8
232.42,33.9,20.7
231.5,26.9,64.7
232.72,29.9,58.3
228.89,25.9,50.9
230.15,65,42.4
232.87,47,13.8
229.34,11.6,42
231.9,41.4,54.5
226.97,21.5,45.9
227.93,76.7,42
230.06,36.8,43.7
232.15,73.7,40
231.62,5.9,49.9
230.6,46.3,57.6
229.52,26.1,47.3
227.15,41.4,52.6
231.28,79.2,80
231.24,27.3,17.6
229.81,58.7,46.4
231.69,33.5,13.6
231.58,30.8,68.6
226.36,85.8,18.1
229.06,21.6,51.3
228.53,29.3,50.8
232.85,44.5,7.4
230.12,62.9,64.9
229.64,43.8,59.3
233.91,32.9,35.2
229.61,58,74.5
231.93,57.9,46
232.18,41.2,69.6
231.85,55.7,37.4
231.56,46.7,10.2
231.47,16,55.1
231.34,40.3,59.4
232.14,44.1,40.5
229.13,50.6,56.6
230.29,76,52.8
227.42,49.8,7.9
227.99,26.8,69.7
228.91,21.1,49.6
232,58.5,56.8
231.32,48.9,47
230.18,48,62.7
231.15,63.7,57.3
226.8,39.4,59.9
230.89,45.7,20
228.61,37.8,49.8
227.26,49.5,21.6
230.46,54.7,69.9
228.08,73.7,54.3
231.14,74.1,22.4
227.77,21.1,32
230.53,52,61.6
227.75,17.2,19.7
231.76,80.5,88
228.86,27.3,40.7
227.75,92.9,17.1
230.01,86.4,97.9
229.13,87.5,29.3
232.31,4.4,33.3
233.2,46.7,31.7
230.81,78.5,33.5
228.45,30.7,97.9
228.02,39.2,65.1
227.79,47.5,57.6
231.85,37,58.9
232.66,86.9,16.6
224.94,56.1,77.4
232.09,69.3,88
229.53,65.4,18.4
228.64,57.8,29.2
224.93,81.2,68.1
227.92,17,74.4
231.52,59.2,74.8
233.12,69,80.1
230.75,14.2,557.3
232.8,54.5,76.6
225.87,68.7,7.8
225.27,54.2,59
232.06,38.1,80.4
228.68,55,34.7
232.88,65.7,29.3
226.07,60.1,15.3
233.47,84.8,63.8
228.09,46.9,71.9
231.4,60.4,17.6
231.41,72.7,8.3
229.36,74.1,59.2
232.99,63.7,93.8
231.4,46.4,19.9
231.76,64.5,42.8
233.72,51.1,34.9
225.6,54.4,93.8
228.03,71.8,77.3
227.63,70.7,58.6
230.9,73.3,56.7
233.41,79.5,66.4
227.38,51.3,75
231.7,71.6,46
227.33,81.6,15.7
230.11,42.2,93.3
230.77,32.3,28.4
233.74,68.7,44
228.01,71,57.9
228.64,51.9,41
229.8,64.9,69.1
228.45,35.9,51.7
227.3,23.1,59.2
228.94,69.8,32.7
231.81,74.6,43.7
231.2,71,56
228.14,56.3,52.9
230.02,53.1,28.4
228.97,80.4,53.3
229.29,78.5,50
226.04,53.2,95.4
230.92,45.9,86.6
230.05,58,78.7
228.77,63.5,28
233.39,88.7,59.2
229.56,55.3,70.6
229.13,41.5,86.9
226.58,47.8,59.2
231.72,36.4,72.6
