power,cpu,mem
228.89,7.41,12.1
232.34,8.7,10.76
229.69,4.4,11.27
230.79,4.33,12.9
230.68,4.29,11.32
228.32,7.57,10.53
228.81,9.35,10.2
229.04,9.33,10.61
231.42,5.04,9.66
227.84,4.11,10.57
231.05,4.79,10.3
229.37,4.87,8.85
232,6.57,13.09
231.3,9.8,9.67
230.61,8.89,10.88
231.83,3.39,8.84
232.37,7.88,8.81
230.93,6.48,11.17
231.04,6.26,12
227.57,5.84,11
228.37,4.23,12.11
227.84,6.48,13.09
229.11,7.67,9.51
231.13,5.51,12.7
230.66,6.96,9.51
228.92,5.09,12.55
231.87,6.39,10.95
230.27,2.72,8.95
227.96,9.86,12.68
229.09,5.35,12.36
231.34,7.34,9.11
229.11,9.64,11.52
229.78,8.27,9.26
231.13,9.49,8.97
232.19,3.3,11.22
232.05,4.24,12.87
228.95,8.6,9.13
231.33,5.46,12.98
227.7,5.76,13.05
227.98,5.19,10.05
229.43,3.24,11.81
232.34,3.16,10.56
228.91,2.53,10.05
228.26,4.87,10.8
229.37,8.52,8.78
232.18,5.85,13.05
231.76,5.24,10.93
228.44,7.59,12.18
229.58,6.51,12.66
230.67,6.02,9.76
229.22,2.56,11.65
229.56,10.07,8.72
230.95,8.74,12.77
231.37,8.22,9
231.68,4.77,12.93
231.93,4.79,8.91
230.14,7.35,12.1
228.67,5.62,10.85
231.06,8.33,12.94
228.37,2.87,12.8
230.74,5.92,10.54
230.52,5.82,13.04
231.16,7.35,9.16
229.54,9.46,9.86
229.93,7.37,13.15
232.25,9.09,12.48
230.26,5.72,12.38
229.5,5.12,10.34
229.5,8.18,10.24
230.88,4.52,12.8
228.76,9.76,12.58
231.72,8.03,8.77
228.74,8.68,11.81
230.98,9.55,9.14
227.77,4.83,9.8
230.3,9.63,9.94
231.33,9.44,12.46
227.74,6.98,9.97
230.74,8.37,8.97
231.33,8.6,10.01
230.47,2.76,11.99
230.8,7.62,12.78
229.44,5.06,12.06
231.18,8.43,12.61
229.93,6.17,12.23
231.47,8.24,12.46
230.32,2.72,10.26
228.82,5.46,11.99
230.13,3.07,12.71
232,8.16,11.05
231.99,8.08,9.75
232.58,9.58,10.08
232.41,4.66,9.06
229.28,9.92,8.98
227.98,2.7,9.59
228.17,5.54,12.27
232.53,10.02,11.81
228.87,10.09,10.29
229.39,6.56,9.27
230.29,5.36,12.06
230.38,18.73,35.74
229.44,16.39,18.32
228.66,20.31,30
231.83,18.98,18.37
230.08,9.32,11.67
228.12,16.6,16.25
231.18,17.27,11.99
230.31,10.17,39.32
230.35,10.75,15.47
231.4,19.48,13.19
232.25,17.64,24.87
231.78,8.55,26.29
231.05,11.49,33.63
228.58,13.41,30.39
231.41,19.11,36.49
228.58,8.24,39.89
228.57,12.46,14.98
228.4,19.53,12.34
230.82,10.6,28.42
232.08,8.6,20.48
231.88,11.1,11.66
230.33,20.18,13.93
231.89,16.11,16.39
232.63,8.95,26.58
228.42,12.25,29.37
228.13,17.02,29.89
230.01,10.97,26.5
228.71,9,29.43
229.99,13.69,33.15
233.24,19.5,32.32
232.16,18.18,26.45
230.93,16.61,15.97
228.29,12.86,26.49
230.7,18.97,23.19
231,12.2,27.63
233.02,15.84,20.18
230.17,17.24,28
230,19.57,38.6
229.72,16.42,31.33
228.77,16.44,12.16
232.2,18.93,39.64
228.82,8.46,35.9
227.92,14.22,30.06
229.25,13.1,16.23
230.44,11.29,31.01
231.17,10.11,13.26
231.06,20.45,14.43
231.28,12.56,35.98
228.36,16.44,22.51
228.57,12.05,26.64
228.24,11.69,37.92
231.92,17.19,36.32
228.85,8.41,17.12
231.12,10.75,13.89
229.53,10.16,27.5
229.04,16.49,15.52
228.53,9.06,16.19
232.87,20.35,33.29
228.29,15.21,19.88
230.31,15.47,36.09
231.82,19.51,13.02
232.87,20.33,18.47
227.43,11.47,13.67
232.61,19.68,16.75
231.89,17.96,36.6
229.72,16.59,22.46
232.98,19.6,27.64
231.72,13.08,32.39
228.16,10.66,24.85
230.75,19.12,18.83
230.26,17.08,22.82
227.17,11.21,37.53
230.23,9.93,36.49
231.99,9.63,21.41
227.39,10.03,24.89
229.87,18.75,34.7
227.29,14.56,29.68
233.25,17.74,17.32
229.73,20.3,38.63
230.93,18.54,14.37
230.81,20.17,38.35
231.67,12.38,31.68
226.69,15,36.67
231.07,16.85,26.85
232.49,9.74,23.81
232.87,16.42,11.76
230.21,13.37,31.17
229.08,17.53,34.55
229.25,13.9,32.67
231.46,13.16,26.28
230.27,13.09,20.35
230.81,18.58,31.97
228.63,11.32,18.7
231.29,19.86,16.01
232.81,19.8,24.19
230.75,11.13,31.94
230.46,19.76,37.63
229.19,14.87,19.48
230.3,18.62,33.91
228.61,13.65,28.12
229.22,17.47,26.68
232.62,19.06,39.1
227.42,9.75,37.55
231.51,18.56,30.96
227.98,9.53,32.03
227.18,11.22,22.99
232.36,20.45,19.58
227.38,11.35,26.88
229.54,14.73,19.84
228.41,9.35,22.46
227.04,13.47,38.75
229.29,15.36,22.56
229.15,18.38,29.05
227.62,9.93,14.38
227.72,18.92,37.4
228.73,17.57,25
226.89,9.6,37.46
232.53,20.06,32.31
230.68,15.88,33.59
232.9,20.33,13.91
231.95,11.02,17.63
231.98,20.11,34.85
230.53,20.07,22.19
229.68,12.16,23.64
228.83,12.82,39.74
232.47,18.32,29.43
228.3,17.52,36.77
230.3,13.84,22.84
229.13,15.54,22.23
230.32,19.78,13.12
230.63,12.43,19.47
230.49,17.91,34.55
230.8,12.36,26.15
229.86,17.54,24.67
227.25,9.25,30.28
233.04,14.84,24.6
231.69,10.43,17.03
230.76,15.51,32.9
229.73,10.86,36.58
228.93,9.47,31.15
228.74,10.41,27.96
232.9,12.59,24.15
227.21,11.76,20.72
231.58,15.24,37.13
227.19,9.74,33.73
230.74,15.11,13.05
227.04,8.21,25.13
228.95,9.16,20.14
229.76,11.34,35.95
227.84,11.69,28.14
228.02,9.2,17.97
231.1,17.49,30.05
232.83,19.08,32.87
233.6,19.4,21.48
230.31,11.9,36.12
228.76,20.39,37.31
228.51,14.07,15.69
232.21,19.33,15.47
229.22,10.23,17.91
228.88,8.37,33.1
231.02,11.01,39.86
226.94,13.95,36.68
229.71,13.99,14.73
232.36,17.52,26.97
231.95,12.52,18.62
231.08,15.78,12.21
228.78,19.26,16.31
231.68,20.38,18.94
230.79,17.9,13.6
227.29,9.7,13.67
231.99,17.3,23.12
228.66,10.74,34.09
230.15,13.44,28.1
228.38,20.45,27.03
232.17,12.9,24.86
231.95,16.39,22.59
231.66,9.48,32.83
228.37,15.77,25
228.86,9.14,38.85
232.39,19.2,24.66
231.74,10.03,35.32
227.83,8.31,30.36
228.52,13.06,24.11
231.74,13.79,13.07
229.61,18.49,35.34
227.58,10.55,34.24
231.36,11.39,11.58
229.64,10.02,31.88
228.88,13.91,39.48
230,12.78,30.73
228.33,17.03,32.95
232.42,19.17,18.37
231.5,18.11,34.1
232.72,12.48,21.7
228.89,18.37,40.88
230.15,14.79,32.67
232.87,18.39,26.85
229.34,18.67,36.24
231.9,12.07,19.45
226.97,10.06,36.78
227.93,13.86,22.96
230.06,8.24,33.75
232.15,8.59,13.61
231.62,13.64,30.31
230.6,18.65,17.36
229.52,13.01,13.5
227.15,18.62,39.5
231.28,13.07,34.69
231.24,17.31,21.49
229.81,17.11,34.95
231.69,8.39,28.66
231.58,13.28,15.95
226.36,8.52,36.34
229.06,17.08,13.98
228.53,10.9,31.3
232.85,15.81,31.93
230.12,15.62,30.31
229.64,10.7,12.76
233.91,19.78,14.89
229.61,16.32,36.79
231.93,10.92,33.08
232.18,15.49,40.04
231.85,14.15,18.54
231.56,12.32,13.56
231.47,20.12,35.88
231.34,14.94,23.33
232.14,13.46,16.67
229.13,15.12,31.63
230.29,12.49,26.25
227.42,9.24,24.84
227.99,14.85,36.6
228.91,9.94,13.08
232,11.55,13.61
231.32,20.23,23.23
230.18,18.37,31.77
231.15,18.87,36.42
226.8,8.91,37.98
230.89,16.46,13.43
228.61,14.16,23.27
227.26,10.75,28.26
230.46,16.23,28.57
228.08,16.8,40.55
231.14,11.82,18.59
227.77,11.23,35.96
230.53,19.87,32.12
227.75,12.83,25.43
231.76,10.33,14.64
228.86,14.07,38.77
227.75,18.16,24.96
230.01,17.25,32.2
229.13,21.53,27.76
232.31,18.47,39.84
233.2,20.51,27.24
230.81,19.27,23.47
228.45,23,43.94
228.02,20.39,56.53
227.79,23.61,51.34
231.85,21.26,32.33
232.66,18.53,28.88
224.94,18.46,54.08
232.09,20.99,41.26
229.53,19.2,28.25
228.64,22.04,33.67
224.93,18.65,51.68
227.92,18.44,50.11
231.52,21.76,36.77
233.12,23.52,41.77
230.75,21.43,56.91
232.8,19.15,24.36
225.87,19.87,50.34
225.27,19.31,52.14
232.06,20.71,34.28
228.68,21.97,39.6
232.88,19.72,40.33
226.07,20.19,54.26
233.47,22.65,41.33
228.09,21.42,28.67
231.4,23.49,42.23
231.41,19.71,26.48
229.36,19.87,43.32
232.99,20.92,45.64
231.4,22.97,27.36
231.76,20.94,41.74
233.72,20.93,28.56
225.6,20.21,49.04
228.03,22.64,52.12
227.63,22.25,40.34
230.9,19.29,37.67
233.41,22.63,30.75
227.38,23.58,44.96
231.7,19.88,50.41
227.33,19.8,36.04
230.11,19.99,25.71
230.77,20.61,57.82
233.74,22.92,29.1
228.01,19.47,24.98
228.64,22.65,29.25
229.8,19.03,26.15
228.45,18.89,29.72
227.3,21.05,34.51
228.94,23.45,54.26
231.81,18.52,49.51
231.2,19.75,27.81
228.14,19.18,49.77
230.02,21.07,33.12
228.97,20.84,53.73
229.29,18.51,45.15
226.04,18.47,55.45
230.92,23.55,43.42
230.05,22.47,50.98
228.77,21.41,43.34
233.39,21.47,39.79
229.56,22.32,47.79
229.13,18.98,52.97
226.58,23.07,58.1
231.72,20.36,40.07
231.44,23.03,34.94
229.62,18.99,53.44
229.11,19.79,34
232.3,18.97,36.06
233.25,22.63,42.58
229.93,19.04,33.67
229.02,19.32,32.26
227.53,21.51,57.41
228.41,20.57,53.15
232.52,21.19,42.53
233.7,20.31,37.09
228.82,18.83,49.68
227.27,19.86,31.71
227.58,21.32,52.49
233.16,22.69,41.06
233.45,22.7,34.09
230.1,19.1,51.93
232.98,21.61,45.66
233.58,20.73,27.8
226.8,21.03,54.28
231.96,23.12,53.77
229.11,21.68,33.07
229.59,22.86,51.31
228.96,22.9,50.43
228.03,21.8,45.02
231.88,19.79,35.2
229.92,22.83,52.18
231.98,22.76,51.13
230.82,22.76,44.76
230.75,20.31,24.97
227.92,20.24,32.54
233.49,20.01,31.81
226.22,23.66,53.91
229.27,22.02,38.61
229.57,19.05,27.5
231.96,20.76,39.15
233.13,23.4,39.34
229.78,23.04,42.41
228.53,21.51,24.06
226.27,20.33,48.31
230.81,19.41,28.79
228.33,20.9,25.28
229.2,21.76,53.02
226.87,21.81,53.4
230.4,19.98,36.3
229.2,21.55,30.69
230.64,18.52,48.41
231.67,21.3,33.81
227.93,20.52,56.26
227.18,22.23,42.84
229.15,18.76,31.26
231.41,19.74,43.86
228.61,19.66,37.02
230.48,18.45,43.7
231.77,21.96,46.11
231.42,22.46,32.11
231.41,22.12,54.97
226.81,19.28,50.89
229.97,19.62,46.03
226.51,22.89,47.31
231.11,19.2,30.74
231.11,21.19,43.85
229.99,22.2,37.04
227.33,21.74,34.92
230.56,23.37,30.45
234.51,22.26,26.11
230.35,21.65,35.07
232.49,19.41,40.08
229.55,21.99,25.33
233.33,22.8,43.38
231.92,19.06,37.74
229.72,21.43,45.43
229.84,18.31,34.39
226.99,21.25,58.34
227.59,20.7,51.23
232.05,21.19,46.31
229.98,20.2,48.86
230.08,20.3,46.64
231.05,20.29,23.62
233.43,22.15,36
228.15,21.13,42.43
228.13,20.75,57.9
227.19,23.5,52.48
229.56,22.61,48.55
229.87,25.4,47.78
227.24,25.63,62.44
228.16,22.14,55.22
230.96,26.61,57.62
232.71,29.38,49.82
230.86,29.1,59.01
227.59,21.02,68.09
229.71,22.68,52.78
229.7,27.78,61.06
232.39,22.33,40.87
230.75,30.69,46.43
228.8,27.1,63.5
233.16,25.75,38.01
228.65,25.03,42.17
231.88,30.74,56.71
228.51,23.52,54.03
230.16,22.76,47.12
230.83,21.77,40.38
230.75,27.31,38.78
225.39,21.96,61
232.12,27.02,52.23
231.32,27.18,56.32
230.09,27.34,49.91
229.65,27.56,40.57
229.99,22.88,47.2
233.19,26.55,46.64
233.41,28.4,41.37
234.25,29.66,44.61
230.03,21.6,57.86
230.23,21.49,52.8
225.02,21.52,67.85
228.64,28.88,54.73
231.41,26.2,40.21
230.03,21.18,55.61
228.23,30.17,68.01
226.47,22.78,60.92
230.96,30.83,63.82
227.26,25.28,64.17
228.53,25.5,66.59
226.98,24.08,56.57
229.17,21.2,39.47
228.11,27.66,66.86
227.72,21.59,51.16
225.22,23.14,65.55
227.4,22.3,68.73
230.96,28.64,56.72
227.21,22.9,59.66
231.32,27.39,59.27
232.08,28.69,55.23
231.6,26.12,43.76
229.81,29.98,65.08
230.16,29.57,52.01
232.1,27.95,48.21
227.21,21.04,47.39
230.25,27.6,60.38
234.47,29.25,38.11
228.6,30.66,61.03
229.14,23.46,55.45
225.78,23.64,65.72
232.18,30.38,47.73
228.71,24.01,50.58
231.27,30.22,48.71
230.52,23.53,53.05
227.79,29.28,65.72
226.77,25.55,65.69
230.07,27.38,49.9
227.48,23.99,51.72
232.28,29.28,55.26
232.35,29.32,50.86
229.95,24.75,38.78
231.98,27.48,40.39
227.04,24.34,68.24
232.58,26.45,45.47
228.36,29.96,63.21
228.18,23.3,64.66
227.22,27.28,68.15
230.95,30.38,47.75
224.68,23.76,65.65
231.45,21.52,45.69
229.51,29.81,60.09
227.62,22.78,51.93
233.86,30.69,44.15
227.11,26.33,57.53
229.56,22.47,50.45
225.96,29.56,66.89
231.88,28.2,42.55
233.23,28.69,50.36
233.09,30.86,57.31
230.11,28.25,49.17
233.1,27.15,47.02
230.63,30.71,57.09
232.19,27.54,45.41
229.43,25.86,63
223.43,21.81,68.59
229.15,25.96,58.51
228.26,21.28,41.97
230.09,27.52,44.12
228.03,21.39,56.37
227.39,23.37,53.8
231.13,22.41,38.47
230.95,21.81,49.35
231.47,28.76,45.81
232.1,29.89,40.32
232.72,26.41,38.7
229.54,24.06,46.6
229.91,25.8,51.12
227.86,27,61.23
231.9,30.35,53.36
232.26,21.24,38.7
230.29,24.29,58.18
231.36,21.85,41.72
227.91,21.72,42.46
229.9,23.83,42.58
229.92,26.67,53.5
228.45,26.74,65.39
230.36,25.2,58.38
228.31,26.13,53.74
227.72,22.28,48.26
230.12,27.82,57.84
231.58,23.86,47.91
230.64,24.32,46.74
231.31,22.89,45.08
233.38,26.65,43.01
228.46,22.39,50.15
233.45,30.93,48.39
232.73,30.41,40.41
228.26,22.71,51.47
226.98,27.68,66.02
230.02,21.28,49.06
225.57,23.31,67.98
230.39,28.89,60.18
227.3,25.9,66.27
230.35,30.6,46.78
231.3,23.15,41.69
