power,cpu,mem
227.91, 7.69, 19.80
230.84, 8.91, 23.97
228.26, 6.39, 23.37
228.45, 2.56, 24.71
231.33, 8.63, 17.53
227.01, 2.92, 25.54
230.55, 7.40, 24.42
231.80, 3.96, 22.20
229.13, 8.84, 17.23
229.88, 7.86, 24.06
231.19, 7.55, 18.29
227.59, 6.24, 21.76
228.73, 9.02, 17.39
227.07, 3.79, 27.52
230.14, 6.91, 25.56
228.99, 7.88, 26.24
229.37, 3.50, 25.34
230.66, 6.09, 25.81
228.03, 3.65, 24.85
229.13, 4.78, 17.96
227.72, 3.91, 26.60
226.97, 3.15, 27.07
229.68, 9.56, 27.50
229.72, 9.28, 26.19
228.39, 5.83, 23.63
230.54, 5.73, 24.58
230.63, 7.21, 20.43
230.89, 6.02, 18.13
231.40, 6.39, 27.00
231.43, 4.90, 18.61
231.27, 3.85, 22.74
231.13, 2.75, 26.22
229.83, 2.62, 25.07
230.87, 9.03, 28.14
228.53, 9.20, 24.33
230.22, 4.55, 20.50
231.30, 5.97, 20.87
227.40, 3.62, 24.44
231.45, 3.11, 19.21
228.74, 7.70, 23.41
228.47, 4.03, 22.29
229.58, 10.00, 22.97
231.22, 6.15, 28.06
227.67, 8.28, 27.93
230.32, 8.00, 24.71
231.42, 8.25, 27.11
228.93, 7.72, 20.39
229.77, 2.65, 24.22
229.35, 5.74, 20.73
229.47, 3.91, 27.48
231.43, 2.93, 19.08
229.85, 4.33, 26.19
231.11, 9.77, 26.20
231.63, 9.77, 17.38
228.64, 3.93, 20.81
230.52, 8.42, 27.23
227.19, 4.86, 22.31
227.62, 4.11, 24.36
227.98, 6.55, 21.90
230.12, 7.14, 25.84
228.91, 4.85, 19.09
231.15, 6.21, 26.27
229.70, 8.60, 27.92
228.49, 6.68, 26.73
231.19, 9.26, 19.71
228.77, 9.03, 26.07
228.99, 10.03, 17.84
228.43, 7.21, 18.02
230.46, 9.39, 27.84
227.02, 7.34, 28.09
230.66, 2.90, 18.17
229.66, 4.94, 26.19
229.23, 5.47, 25.99
228.87, 8.99, 22.74
227.19, 8.13, 22.32
227.50, 2.56, 23.48
230.27, 7.97, 24.87
228.08, 9.01, 25.45
230.68, 8.66, 21.41
230.47, 2.90, 20.41
228.15, 4.33, 21.12
231.55, 7.80, 21.46
232.00, 4.76, 16.96
230.82, 7.41, 22.93
227.37, 6.26, 25.92
227.81, 5.64, 19.29
228.22, 7.91, 23.83
228.35, 9.72, 27.96
230.85, 8.61, 26.96
230.88, 3.81, 24.64
226.77, 2.55, 23.82
228.30, 6.50, 18.95
228.66, 3.06, 24.11
227.45, 8.44, 23.96
228.25, 7.70, 27.45
227.44, 4.94, 23.56
227.38, 6.73, 18.48
227.58, 8.85, 22.80
227.22, 7.97, 24.56
228.40, 5.15, 26.28
226.38, 16.52, 31.67
224.78, 11.91, 37.55
230.45, 14.47, 27.20
231.25, 16.42, 26.95
226.54, 13.69, 31.94
228.59, 12.26, 37.77
229.47, 8.41, 27.60
231.22, 17.98, 26.65
228.77, 15.78, 29.90
227.81, 11.71, 26.47
225.70, 15.51, 34.18
230.21, 9.94, 35.47
225.52, 18.52, 38.29
229.01, 11.82, 33.15
231.12, 8.85, 30.79
228.49, 12.50, 25.55
223.80, 9.84, 39.12
229.40, 18.65, 31.97
231.87, 15.10, 25.93
229.90, 12.90, 34.68
230.97, 9.84, 28.96
230.23, 19.16, 26.13
230.31, 17.59, 33.25
230.49, 19.39, 38.32
231.45, 19.70, 34.00
228.55, 16.76, 38.67
229.64, 11.04, 27.74
226.67, 12.84, 36.18
228.91, 9.58, 28.47
228.10, 9.02, 27.32
227.87, 8.46, 28.40
225.97, 13.55, 38.84
226.73, 14.09, 34.41
226.22, 8.97, 36.51
227.17, 11.62, 29.34
232.29, 18.24, 29.99
229.93, 14.34, 27.29
228.98, 17.04, 35.38
226.50, 12.37, 40.07
227.80, 11.22, 30.87
226.33, 19.99, 34.66
229.16, 14.71, 34.57
227.16, 16.32, 31.01
228.21, 8.82, 37.32
226.86, 13.60, 35.93
228.94, 19.67, 37.11
230.76, 14.11, 34.55
226.78, 12.47, 37.16
229.17, 14.41, 39.22
227.60, 9.43, 38.61
225.28, 11.34, 40.99
229.87, 20.46, 28.25
228.66, 14.95, 27.92
227.12, 8.68, 40.97
225.60, 19.63, 39.14
227.24, 16.14, 29.78
229.96, 11.64, 27.44
227.69, 9.00, 30.55
226.30, 12.28, 39.60
226.73, 11.11, 36.54
224.66, 14.44, 38.77
227.27, 8.62, 34.52
229.73, 14.73, 28.91
230.91, 17.29, 31.42
228.35, 17.91, 30.08
228.69, 15.61, 35.12
228.92, 9.55, 32.45
229.54, 11.80, 30.70
230.83, 16.80, 35.55
229.19, 12.67, 37.14
228.47, 15.49, 32.01
229.67, 15.71, 34.78
230.38, 8.75, 26.40
225.66, 14.28, 39.78
228.58, 11.10, 29.56
224.61, 11.99, 39.27
225.89, 18.77, 38.55
226.70, 13.12, 28.02
226.74, 16.32, 28.39
225.02, 15.67, 36.71
229.25, 9.24, 36.00
230.14, 19.15, 39.78
227.13, 15.06, 30.17
231.16, 17.17, 29.69
230.20, 10.96, 35.32
228.74, 12.99, 34.14
230.87, 8.26, 29.13
231.52, 18.36, 32.26
228.39, 14.78, 25.84
227.83, 9.57, 31.31
229.49, 11.95, 29.24
229.38, 11.26, 36.87
229.11, 11.37, 30.29
229.26, 14.67, 33.09
230.07, 14.30, 33.99
229.47, 10.90, 26.98
228.79, 9.17, 28.90
229.78, 16.92, 29.78
229.03, 15.12, 30.14
226.46, 14.58, 32.42
228.51, 18.68, 30.28
227.89, 11.42, 35.84
226.77, 12.06, 26.75
226.80, 19.17, 40.17
228.95, 13.91, 30.51
226.27, 20.18, 39.55
228.82, 19.38, 39.50
229.35, 10.40, 40.10
223.76, 11.54, 39.61
227.33, 11.24, 29.71
227.04, 11.25, 40.01
230.06, 15.68, 28.39
229.86, 15.56, 38.68
230.10, 17.75, 32.71
226.69, 15.52, 34.77
229.15, 14.74, 35.00
228.19, 13.44, 31.05
227.94, 9.96, 40.38
227.01, 10.11, 30.81
226.10, 16.19, 32.06
226.11, 9.79, 27.35
231.50, 9.74, 30.14
225.10, 17.14, 38.83
227.92, 8.82, 33.84
230.19, 13.57, 29.12
227.18, 20.39, 39.12
227.43, 17.32, 37.77
225.93, 14.03, 39.87
231.55, 17.83, 26.85
227.95, 16.24, 33.21
227.88, 17.45, 29.03
230.13, 8.55, 32.45
227.62, 17.40, 40.04
229.65, 13.10, 32.11
226.65, 14.28, 31.26
229.63, 18.97, 31.90
228.80, 17.19, 30.21
228.16, 10.82, 38.92
224.70, 14.26, 38.64
229.45, 15.98, 39.89
231.62, 13.84, 27.12
230.75, 9.95, 26.73
227.50, 9.95, 29.05
229.47, 18.16, 27.57
230.21, 18.71, 30.10
224.16, 11.57, 38.24
231.60, 19.64, 31.10
225.36, 15.66, 39.31
225.97, 14.19, 40.27
228.55, 15.87, 40.40
226.18, 12.18, 38.88
225.02, 13.37, 35.85
227.27, 11.04, 38.46
229.66, 13.85, 26.62
224.11, 16.61, 39.86
226.38, 20.01, 33.32
227.04, 10.40, 38.77
228.23, 13.47, 33.88
229.14, 10.61, 29.31
230.17, 18.20, 26.51
225.71, 16.41, 38.83
227.98, 20.31, 35.66
226.14, 18.86, 37.91
228.23, 14.13, 26.81
231.08, 8.44, 28.65
230.99, 9.86, 26.39
227.20, 17.10, 28.43
229.00, 9.40, 32.67
230.20, 19.36, 29.76
230.12, 17.92, 28.24
229.76, 16.42, 31.53
228.91, 20.40, 37.11
223.99, 15.15, 40.91
227.75, 17.92, 37.21
226.02, 8.64, 31.68
230.44, 17.91, 34.93
228.33, 10.77, 39.10
227.64, 17.33, 30.69
231.21, 17.21, 34.98
226.64, 13.31, 35.42
231.48, 17.09, 30.74
228.13, 11.51, 29.32
231.30, 14.53, 30.28
229.04, 15.35, 38.75
228.06, 11.85, 30.04
224.28, 13.41, 38.84
226.30, 11.73, 26.49
226.63, 16.83, 33.07
229.67, 19.07, 34.12
227.38, 8.27, 31.64
230.99, 12.97, 28.98
228.49, 10.75, 34.23
226.92, 18.85, 33.19
226.63, 10.59, 39.56
228.99, 18.23, 29.75
228.90, 19.11, 32.51
228.36, 11.74, 26.76
230.96, 17.66, 35.77
226.19, 11.07, 32.78
225.12, 10.61, 39.58
227.98, 9.95, 31.11
232.25, 18.89, 25.87
225.34, 17.99, 38.22
224.75, 12.94, 40.74
228.89, 10.05, 28.89
224.83, 9.70, 36.15
228.58, 14.99, 38.40
230.27, 16.47, 35.88
226.20, 15.67, 40.02
226.91, 16.87, 32.93
232.64, 17.40, 26.01
228.93, 17.72, 34.93
228.53, 15.20, 35.98
226.40, 18.89, 32.16
227.79, 15.09, 30.51
226.98, 14.58, 40.87
226.01, 11.16, 30.23
224.82, 16.34, 39.69
227.93, 15.58, 39.39
230.60, 9.81, 26.62
226.93, 9.20, 36.29
228.86, 12.59, 37.08
229.08, 16.57, 26.92
231.53, 19.27, 26.36
224.43, 18.59, 40.98
230.15, 18.14, 38.44
227.31, 18.25, 37.08
226.57, 16.13, 38.78
230.23, 9.26, 29.21
227.70, 9.27, 31.32
228.58, 13.52, 27.20
227.71, 17.10, 29.79
230.66, 11.33, 27.59
225.38, 10.11, 32.08
231.11, 8.76, 31.51
226.46, 8.52, 36.09
227.84, 10.07, 30.52
231.42, 20.25, 26.82
227.90, 11.75, 30.55
227.66, 12.65, 38.93
227.88, 8.44, 30.73
226.47, 15.74, 35.13
228.61, 16.42, 33.58
227.87, 10.88, 34.48
229.27, 13.21, 28.44
228.34, 17.15, 34.22
230.69, 11.28, 29.05
226.21, 15.60, 32.92
231.77, 20.17, 28.02
229.06, 13.57, 39.65
224.62, 20.76, 41.04
227.31, 19.98, 40.72
227.94, 22.07, 34.58
227.22, 20.19, 48.26
227.11, 22.32, 49.47
227.17, 19.54, 30.77
220.27, 21.42, 54.14
222.41, 22.17, 52.85
219.79, 19.20, 52.32
230.24, 20.00, 39.14
229.28, 21.64, 37.89
223.35, 22.05, 47.63
221.68, 18.58, 47.36
226.09, 22.72, 42.68
226.45, 19.67, 48.30
228.79, 18.95, 32.18
227.72, 20.84, 49.14
225.22, 21.84, 50.12
228.75, 21.89, 44.93
221.51, 22.25, 50.97
219.91, 19.26, 53.98
227.99, 18.56, 35.66
227.33, 20.95, 46.00
